panel,cohort_label,coord,n_parquet_cells,qc_status,structural_acceptability,sample_type,has_all_primary_inputs
AR,No-NAC,"[44837,12420]",4945.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[44956,10716]",5473.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[44996,8892]",5842.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[45194,7028]",5184.0,Unusable,Unusable,TURBT,True
AR,No-NAC,"[45313,5244]",6351.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[45814,12918]",5725.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[45854,9588]",7500.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[45894,11253]",5520.0,Borderline,Borderline,TURBT,True
AR,No-NAC,"[45894,14663]",8347.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[45894,16288]",6298.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[45894,17993]",8032.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[45894,19540]",2534.0,Unusable,Unusable,TURBT,True
AR,No-NAC,"[45894,6297]",5507.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[46027,21223]",3923.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[46066,19478]",4941.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[46225,17734]",6473.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[46304,16068]",7511.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[46463,14284]",2993.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[46582,12539]",4604.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[46622,10755]",5419.0,Unusable,Unusable,TURBT,True
AR,No-NAC,"[46820,8971]",9302.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[46899,7147]",9526.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[47058,5363]",2753.0,Unusable,Unusable,TURBT,True
AR,No-NAC,"[47559,6257]",8036.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[47599,11253]",4861.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[47599,12918]",11732.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[47599,14623]",5923.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[47599,16288]",5572.0,Unusable,Unusable,TURBT,True
AR,No-NAC,"[47599,17914]",6476.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[47599,19500]",6730.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[47599,7922]",5914.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[47638,9508]",3162.0,Unusable,Unusable,TURBT,True
AR,No-NAC,"[47652,21302]",4026.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[47811,19557]",6283.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[47930,17813]",5109.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[48128,16108]",6994.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[48208,14443]",5633.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[48366,12658]",4426.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[48485,10874]",8419.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[48604,9090]",5152.0,Borderline,Borderline,TURBT,True
AR,No-NAC,"[48723,7266]",8304.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[48802,5561]",7024.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[49264,9588]",5371.0,Unusable,Unusable,TURBT,True
AR,No-NAC,"[49278,21500]",3517.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[49304,14584]",4964.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[49304,6297]",7760.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[49343,11253]",3885.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[49343,16288]",10537.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[49343,17914]",5634.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[49343,7962]",5878.0,Borderline,Borderline,TURBT,True
AR,No-NAC,"[49383,19540]",7569.0,Acceptable,Acceptable,TURBT,True
