entity_id,branch,panel,cohort_label,sample_type,coord,qc_status,has_all_primary_inputs,n_parquet_cells,tissue_class,adjusted_area_percent
"TMA|AR|[38807,14869]",TMA,AR,NAC2020,TURBT,"[38807,14869]",Acceptable,True,4315.0,Stroma,38.7235220822373
"TMA|AR|[38807,16613]",TMA,AR,NAC2020,TURBT,"[38807,16613]",Acceptable,True,5220.0,Stroma,31.692840361073326
"TMA|AR|[39084,11419]",TMA,AR,NAC2020,TURBT,"[39084,11419]",Acceptable,True,6605.0,Stroma,97.00945126251939
"TMA|AR|[39084,9754]",TMA,AR,NAC2020,TURBT,"[39084,9754]",Acceptable,True,6814.0,Stroma,62.71760154738878
"TMA|AR|[39164,7970]",TMA,AR,NAC2020,TURBT,"[39164,7970]",Acceptable,True,7359.0,Stroma,79.31748933577087
"TMA|AR|[40281,11144]",TMA,AR,NAC2020,TURBT,"[40281,11144]",Acceptable,True,9242.0,Stroma,31.61727133367399
"TMA|AR|[40313,18635]",TMA,AR,NAC2020,TURBT,"[40313,18635]",Acceptable,True,7012.0,Stroma,20.136633441594803
"TMA|AR|[40512,15067]",TMA,AR,NAC2020,TURBT,"[40512,15067]",Acceptable,True,4438.0,Stroma,23.20536418616881
"TMA|AR|[40591,13243]",TMA,AR,NAC2020,TURBT,"[40591,13243]",Acceptable,True,5300.0,Stroma,24.986361156573924
"TMA|AR|[40599,8131]",TMA,AR,NAC2020,TURBT,"[40599,8131]",Acceptable,True,7645.0,Stroma,80.06600660066006
"TMA|AR|[40631,11498]",TMA,AR,NAC2020,TURBT,"[40631,11498]",Acceptable,True,6712.0,Stroma,60.05138871895266
"TMA|AR|[40638,6505]",TMA,AR,NAC2020,TURBT,"[40638,6505]",Acceptable,True,5718.0,Stroma,81.77218651716123
"TMA|AR|[40750,9794]",TMA,AR,NAC2020,TURBT,"[40750,9794]",Acceptable,True,4339.0,Stroma,82.62446835126345
"TMA|AR|[40829,8009]",TMA,AR,NAC2020,TURBT,"[40829,8009]",Acceptable,True,8123.0,Stroma,23.30428192497158
"TMA|AR|[41979,16970]",TMA,AR,NAC2020,TURBT,"[41979,16970]",Acceptable,True,9948.0,Stroma,99.87454379562044
"TMA|AR|[42177,15186]",TMA,AR,NAC2020,TURBT,"[42177,15186]",Acceptable,True,5163.0,Stroma,29.818134240481484
"TMA|AR|[42217,18754]",TMA,AR,NAC2020,TURBT,"[42217,18754]",Acceptable,True,8031.0,Stroma,5.385081867798666
"TMA|AR|[42254,13340]",TMA,AR,NAC2020,TURBT,"[42254,13340]",Acceptable,True,6636.0,Stroma,19.530427458412298
"TMA|AR|[42336,11578]",TMA,AR,NAC2020,TURBT,"[42336,11578]",Acceptable,True,13853.0,Stroma,76.55710306406684
"TMA|AR|[42534,8049]",TMA,AR,NAC2020,TURBT,"[42534,8049]",Acceptable,True,8411.0,Stroma,57.708578143360754
"TMA|AR|[43572,11382]",TMA,AR,NAC2020,TURBT,"[43572,11382]",Acceptable,True,4736.0,Stroma,94.65954606141523
"TMA|AR|[43652,9717]",TMA,AR,NAC2020,TURBT,"[43652,9717]",Acceptable,True,9442.0,Stroma,49.75
"TMA|AR|[43763,18876]",TMA,AR,NAC2020,TURBT,"[43763,18876]",Acceptable,True,8502.0,Stroma,7.588907705334462
"TMA|AR|[43882,15226]",TMA,AR,NAC2020,TURBT,"[43882,15226]",Acceptable,True,6383.0,Stroma,17.43613780173424
