prep_root,panel,cohort,sample_type,region_class,label,label_base,excluded_from_primary,n_cells,n_units,mean_cells_per_unit
AR_state,AR,BLASST,RC,Stroma,cd8_t_cell__PD1_PDL1,cd8_t_cell,False,45,200,0.225
AR_state,AR,BLASST,RC,Stroma,cd8_t_cell__PD1,cd8_t_cell,False,17,200,0.085
AR_state,AR,BLASST,TURBT,Epi,stroma__checkpoint_neg,stroma,False,753672,367,2053.6021798365123
AR_state,AR,BLASST,TURBT,Epi,tumor__checkpoint_neg,tumor,False,199703,367,544.149863760218
AR_state,AR,BLASST,TURBT,Epi,macrophage__checkpoint_neg,macrophage,False,72907,367,198.6566757493188
AR_state,AR,BLASST,TURBT,Epi,stroma__PDL1,stroma,False,54176,367,147.61852861035422
AR_state,AR,BLASST,TURBT,Epi,t_cell__checkpoint_neg,t_cell,False,29514,367,80.41961852861036
AR_state,AR,BLASST,TURBT,Epi,macrophage__PDL1,macrophage,False,15685,367,42.73841961852861
AR_state,AR,BLASST,TURBT,Epi,stroma__PD1,stroma,False,4634,367,12.626702997275205
AR_state,AR,BLASST,TURBT,Epi,t_cell__PDL1,t_cell,False,4422,367,12.049046321525886
AR_state,AR,BLASST,TURBT,Epi,tumor__PDL1,tumor,False,4139,367,11.277929155313352
AR_state,AR,BLASST,TURBT,Epi,t_cell__PD1,t_cell,False,984,367,2.681198910081744
AR_state,AR,BLASST,TURBT,Epi,t_cell__PD1_PDL1,t_cell,False,353,367,0.9618528610354223
AR_state,AR,BLASST,TURBT,Epi,macrophage__PD1_PDL1,macrophage,False,342,367,0.9318801089918256
AR_state,AR,BLASST,TURBT,Epi,macrophage__PD1,macrophage,False,313,367,0.8528610354223434
AR_state,AR,BLASST,TURBT,Epi,stroma__PD1_PDL1,stroma,False,236,367,0.6430517711171662
AR_state,AR,BLASST,TURBT,Epi,cd8_t_cell__PD1_PDL1,cd8_t_cell,False,52,367,0.14168937329700274
AR_state,AR,BLASST,TURBT,Epi,cd8_t_cell__PDL1,cd8_t_cell,False,45,367,0.1226158038147139
AR_state,AR,BLASST,TURBT,Epi,cd8_t_cell__PD1,cd8_t_cell,False,28,367,0.07629427792915532
AR_state,AR,BLASST,TURBT,Epi,cd8_t_cell__checkpoint_neg,cd8_t_cell,False,9,367,0.02452316076294278
AR_state,AR,BLASST,TURBT,Stroma,stroma__checkpoint_neg,stroma,False,2712995,390,6956.397435897436
AR_state,AR,BLASST,TURBT,Stroma,t_cell__checkpoint_neg,t_cell,False,488314,390,1252.0871794871796
AR_state,AR,BLASST,TURBT,Stroma,macrophage__checkpoint_neg,macrophage,False,270081,390,692.5153846153846
AR_state,AR,BLASST,TURBT,Stroma,stroma__PDL1,stroma,False,184764,390,473.75384615384615
AR_state,AR,BLASST,TURBT,Stroma,tumor__checkpoint_neg,tumor,False,136945,390,351.14102564102564
AR_state,AR,BLASST,TURBT,Stroma,t_cell__PDL1,t_cell,False,65249,390,167.3051282051282
AR_state,AR,BLASST,TURBT,Stroma,stroma__PD1,stroma,False,33447,390,85.76153846153846
